timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718559709743,56,Post Network,201,,Thread-2 1-7,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,56,0,0
1718559709799,136,Post Network,201,,Thread-2 1-7,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,135,0,0
1718559711399,198,Post Network,201,,Thread-2 1-8,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,197,0,1
1718559711598,123,Post Network,201,,Thread-2 1-8,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,122,0,0
1718559711722,124,Post Network,201,,Thread-2 1-8,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,123,0,0
1718559711847,149,Post Network,201,,Thread-2 1-8,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,148,0,0
1718559711997,87,Post Network,201,,Thread-2 1-8,text,true,,620,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,86,0,0
1718559713399,83,Post Network,201,,Thread-2 1-9,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,82,0,2
1718559713483,186,Post Network,201,,Thread-2 1-9,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,185,0,0
1718559713670,98,Post Network,201,,Thread-2 1-9,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,98,0,0
1718559713769,98,Post Network,201,,Thread-2 1-9,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,98,0,0
1718559713868,99,Post Network,201,,Thread-2 1-9,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,98,0,0
1718559715405,124,Post Network,201,,Thread-2 1-10,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,123,0,3
1718559715530,173,Post Network,201,,Thread-2 1-10,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,172,0,0
1718559715703,64,Post Network,201,,Thread-2 1-10,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,64,0,0
1718559715768,72,Post Network,201,,Thread-2 1-10,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,72,0,0
1718559715841,58,Post Network,201,,Thread-2 1-10,text,true,,621,321,1,1,http://localhost:8080/api/v1/medmap/purchaseOrder,57,0,0
