timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718562516128,1535,Purchase Order Fetch,200,,GET Purchase Order 2-6,text,true,,628,206,18,20,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1535,0,0
1718562516211,1479,Purchase Order Fetch,200,,GET Purchase Order 2-7,text,true,,628,206,18,20,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1478,0,0
1718562515947,1783,Purchase Order Fetch,200,,GET Purchase Order 2-5,text,true,,628,206,18,20,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1782,0,0
1718562515599,2579,Purchase Order Fetch,200,,GET Purchase Order 2-14,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,2578,0,1
1718562516499,1743,Purchase Order Fetch,200,,GET Purchase Order 2-9,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1743,0,0
1718562517258,1129,Purchase Order Fetch,200,,GET Purchase Order 2-8,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1128,0,0
1718562515056,3335,Purchase Order Fetch,200,,GET Purchase Order 2-13,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3335,0,1
1718562517690,846,Purchase Order Fetch,200,,GET Purchase Order 2-7,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,845,0,0
1718562517009,1612,Purchase Order Fetch,200,,GET Purchase Order 2-4,text,true,,628,206,19,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1611,0,0
1718562516171,3017,Purchase Order Fetch,200,,GET Purchase Order 2-1,text,true,,628,206,18,21,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3016,0,0
1718562517664,1624,Purchase Order Fetch,200,,GET Purchase Order 2-6,text,true,,628,206,17,20,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1624,0,0
1718562516101,3243,Purchase Order Fetch,200,,GET Purchase Order 2-15,text,true,,628,206,16,19,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3243,0,1
1718562517731,1646,Purchase Order Fetch,200,,GET Purchase Order 2-5,text,true,,628,206,16,19,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1645,0,0
1718562517137,2423,Purchase Order Fetch,200,,GET Purchase Order 2-11,text,true,,628,206,15,18,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,2423,0,0
1718562518243,1365,Purchase Order Fetch,200,,GET Purchase Order 2-9,text,true,,628,206,15,18,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1364,0,0
1718562518387,1224,Purchase Order Fetch,200,,GET Purchase Order 2-8,text,true,,628,206,15,18,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1224,0,0
1718562516601,3221,Purchase Order Fetch,200,,GET Purchase Order 2-16,text,true,,628,206,14,17,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3220,0,2
1718562518600,1242,Purchase Order Fetch,200,,GET Purchase Order 2-20,text,true,,628,206,14,17,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1242,0,3
1718562515273,4714,Purchase Order Fetch,200,,GET Purchase Order 2-3,text,true,,628,206,14,17,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,4713,0,0
1718562516101,4333,Purchase Order Fetch,200,,GET Purchase Order 2-2,text,true,,628,206,14,17,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,4332,0,0
1718562518098,2543,Purchase Order Fetch,200,,GET Purchase Order 2-19,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,2543,0,1
1718562518392,2302,Purchase Order Fetch,200,,GET Purchase Order 2-13,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,2301,0,0
1718562517599,3153,Purchase Order Fetch,200,,GET Purchase Order 2-18,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3152,0,1
1718562519561,1310,Purchase Order Fetch,200,,GET Purchase Order 2-11,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1309,0,0
1718562517659,3267,Purchase Order Fetch,200,,GET Purchase Order 2-12,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3266,0,0
